agency,"Buildings, Land & Capital Construction",Contracts with Governments & Nonprofits,Food & Provisions,Information Technology,"Insurance, Claims & Risk","Marketing, Promotion & Public Information",Medical & Health Services (operational),"Personnel, Training & Memberships","Printing, Postage & Mail",Professional & Contracted Services,"Rent, Leases & Facilities Operations","Roads, Bridges & Highways",Security & Protective Services,"Supplies, Equipment & Materials",Telecommunications & Connectivity,"Testing, Research & Appraisal","Travel, Lodging & Per Diem",Utilities,"Vehicles, Fuel & Fleet"
DEPARTMENT OF MOTOR VEHICLES,567928.79,307069.79,67.24,12492757.549999999,1327128.74,6441.65,75.0,106724.66,5488522.48,1141386.23,1984233.43,0.0,0.0,11648204.84,2299667.19,2.03,604426.6,1005036.01,1153151.83
DEPARTMENT OF PUBLIC HEALTH,43522766.08,3315466.22,357960.59,37368886.18,1959611.04,2698764.43,7646336.22,621174.79,2311670.06,60215206.88,7338717.92,0.0,591923.16,32371303.79,4569659.46,136113.34,2055096.19,600909.83,2515949.0300000003
DEPARTMENT OF PUBLIC SAFETY,1545556.61,385516.94,613.97,8477015.53,7057196.93,3602236.96,63745.69,67557.22,56344.23,914488.51,1004506.82,1171.82,0.0,5835819.75,5269116.2,525.0,676855.38,954521.62,19589945.34
DEPARTMENT OF REVENUE,130398.35,29624.0,0.0,23219423.07,910392.52,42594.93,1840.0,95334.86,2674764.94,3841113.75,882189.08,0.0,58398.25,4005021.02,2955033.34,0.0,783778.31,0.0,281651.53
DEPARTMENT OF TRANSPORTATION,223534088.47,8852963.33,28714.0,25437878.59,105397854.07000001,45522.75,85973.59999999999,469227.48,1288272.83,96033945.94,34754093.6,1787921459.8,216745.94,24816918.92,7624173.66,1317778.68,2564880.55,134496376.94,46812828.98
DEPARTMENT OF VETERANS AFFAIRS,143855.33000000002,1624.0,0.0,626255.6799999999,251063.15000000002,208393.23,0.0,6163.0,14320.7,523352.42000000004,151240.49,0.0,0.0,443150.75,115416.98,25943.0,102826.38,19160.08,127547.66
DEPARTMENT ON AGING,0.0,0.0,0.0,551994.67,52198.02,203530.6,350.0,4161.19,9463.95,182016.26,71760.33,0.0,0.0,72346.08,67804.56,0.0,101492.91,1179.72,550449.84
DEPT OF ALCOHOL&OTHER DRUG ABU,0.0,61864.0,0.0,1157421.09,26482.93,2667336.16,188327.75,87102.14,112538.32,393151.02,199027.84,0.0,0.0,1716680.77,46984.62,0.0,35180.88,0.0,84072.53
DEPT OF CHILDREN'S ADVOCACY,0.0,1624.0,284.77,1029657.89,251669.56,16115.9,255.0,75820.28,6747.34,20650.78,306945.2,0.0,8675.58,57042.63,265905.33,0.0,70661.56,40710.68,535296.38
DEPT OF DISABILITIES & SPECIAL,3339406.33,150994578.24,3372089.67,4374594.94,4319241.09,85278.37,17798576.23,705655.48,340350.1,17128726.25,2532083.21,860.31,167397.9,5286314.19,714689.73,0.0,102160.07,1918273.51,992701.5
DEPT OF EMPLOYMENT & WORKFORCE,442529.57,44733.0,1020.01,18059509.48,11106891.96,720668.49,346.65,125250.46,1663590.28,2884531.57,574992.26,0.0,276769.9,446871.18,2492530.86,929052.45,868314.68,601440.63,562121.56
DEPT OF ENVIRONMENTAL SERVICES,20060009.69,272105.61,96.3,12336769.67,1243088.6099999999,233497.43000000002,74286.54000000001,614370.63,443654.73,4684681.05,2483922.21,0.0,182505.78999999998,3345856.5,1077155.82,2856502.54,620823.1,135948.31,2809754.57
DEPT OF HEALTH & HUMAN SERVICE,136157.82,115610145.6,430.18,106882868.03,3277697.14,91389.14,38.25,216639.07,3212315.42,182327681.03,1787654.61,0.0,2551735.54,6746299.8,11186201.98,788196.86,661295.3,20777.53,415434.79
DEPT OF JUVENILE JUSTICE,13111810.01,569324.6799999999,1839413.5,3374021.25,7579148.91,51272.61,4450198.61,503785.72,69808.41,8406270.53,1978661.7,6674.44,5056815.92,5007257.15,1750483.32,47595.25,353336.04,1819308.81,3038507.93
